,duration_s,voltage_start,voltage_end,voltage_delta,voltage_slope_V_per_s,voltage_std,current_mean,current_std,temp_start,temp_end,temp_change,energy_proxy_VAs,capacity,capacity_ratio,discharge_frac,discharge_voltage_slope,discharge_curvature_coeff,voltage_plateau_fraction
duration_s,1.0,-0.7286918232296864,0.8222189994541519,0.8649111119103781,-0.08128644759324438,-0.6481266135009993,0.9745470655186376,0.3197638072194354,0.6082711846739814,-0.9430085790157205,-0.9220542207801659,0.9781009536147115,0.9522552235909015,0.8885430414229658,-0.9823047191433543,-0.37173431789676853,-0.02894412043921767,0.7577868287502045
voltage_start,-0.7286918232296864,1.0,-0.6244269592583188,-0.8773120350457764,-0.3777787334238241,0.09443241149408901,-0.7443233963542194,-0.26797819666721207,-0.5739180427368993,0.7102445287911793,0.7346588159113245,-0.7494010789538875,0.1536527307327799,0.31276034405649406,0.7137043845125554,0.06202040899620375,-0.1333665628405771,-0.5934602289478611
voltage_end,0.8222189994541519,-0.6244269592583188,1.0,0.9226750526636096,0.04803457141915249,-0.46943627894089923,0.8744196010471488,0.6573945919764206,0.5184150061593216,-0.904156941899876,-0.8615715885191481,0.8815763104452112,-0.7479441602521274,-0.6751959358310214,-0.8584583080404873,-0.2691665650542967,0.01603921061044775,0.6363916387871337
voltage_delta,0.8649111119103781,-0.8773120350457764,0.9226750526636096,1.0,0.21601177825314694,-0.33508281745835267,0.9047683803435169,0.5362547284530107,0.6018416088585252,-0.9061497543781136,-0.8920360764621279,0.9116727831824354,-0.7492313267819949,-0.6802628367293175,-0.8797791182918955,-0.19629301449722628,0.07493087545796819,0.6779533421019919
voltage_slope_V_per_s,-0.08128644759324438,-0.3777787334238241,0.04803457141915249,0.21601177825314694,1.0,0.7730807674881661,0.03088327782007425,-0.1964314907303255,-0.03839526912484568,-0.06012130686711619,-0.03203605044828274,0.0034178228545008525,-0.12704643689235987,-0.2306492251285814,0.015623534043870683,0.33933889548323753,0.3284089219736972,-0.03430034310995268
voltage_std,-0.6481266135009993,0.09443241149408901,-0.46943627894089923,-0.33508281745835267,0.7730807674881661,1.0,-0.545802348810922,-0.31516793714316765,-0.3373501358709693,0.5363004369371006,0.5214885894806006,-0.5635516043471026,-0.18503313205119215,-0.1713774630076777,0.6032356250495131,0.5335044862144381,0.2683380273883362,-0.43459230916060515
current_mean,0.9745470655186376,-0.7443233963542194,0.8744196010471488,0.9047683803435169,0.03088327782007425,-0.545802348810922,1.0,0.3740422683226774,0.6234475596134235,-0.9727324269287058,-0.9498777281705034,0.9964421232407834,-0.8835730506818218,-0.8819307868119678,-0.9911384014788819,-0.3051160506475107,0.010692678130117768,0.7724321106536541
current_std,0.3197638072194354,-0.26797819666721207,0.6573945919764206,0.5362547284530107,-0.1964314907303255,-0.31516793714316765,0.3740422683226774,1.0,0.24686432881266648,-0.45768635920602935,-0.43081802516088663,0.4064759867459729,-0.8556482396886989,-0.8237614985593773,-0.3283074203567407,-0.10505742789559318,-0.06551370456630594,0.26146127715431333
temp_start,0.6082711846739814,-0.5739180427368993,0.5184150061593216,0.6018416088585252,-0.03839526912484568,-0.3373501358709693,0.6234475596134235,0.24686432881266648,1.0,-0.5945424038919279,-0.7953543558976648,0.6241822489250543,0.09458680165868992,0.01284238286579243,-0.6200459873538494,-0.07904143570795517,-0.013872980543411784,0.5725713453805533
temp_end,-0.9430085790157205,0.7102445287911793,-0.904156941899876,-0.9061497543781136,-0.06012130686711619,0.5363004369371006,-0.9727324269287058,-0.45768635920602935,-0.5945424038919279,1.0,0.9602512127333978,-0.968881143503746,0.5239730618671364,0.5092606866662146,0.9681612097585436,0.2971617059480338,-0.020955763997407787,-0.7464947334511981
temp_change,-0.9220542207801659,0.7346588159113245,-0.8615715885191481,-0.8920360764621279,-0.03203605044828274,0.5214885894806006,-0.9498777281705034,-0.43081802516088663,-0.7953543558976648,0.9602512127333978,1.0,-0.9472275022967379,0.515592426296795,0.5236889899835049,0.9451032754230413,0.25184453459276107,-0.010721745848165844,-0.7613550333601186
energy_proxy_VAs,0.9781009536147115,-0.7494010789538875,0.8815763104452112,0.9116727831824354,0.0034178228545008525,-0.5635516043471026,0.9964421232407834,0.4064759867459729,0.6241822489250543,-0.968881143503746,-0.9472275022967379,1.0,-0.9988389078010598,-0.9674586467680425,-0.9877024613767106,-0.31160629720472327,0.0010066532674501104,0.7708920673670476
capacity,0.9522552235909015,0.1536527307327799,-0.7479441602521274,-0.7492313267819949,-0.12704643689235987,-0.18503313205119215,-0.8835730506818218,-0.8556482396886989,0.09458680165868992,0.5239730618671364,0.515592426296795,-0.9988389078010598,1.0,0.9586127238670268,0.41394426074592805,-0.01151499425105103,-0.7530528776792421,0.7389548628857143
capacity_ratio,0.8885430414229658,0.31276034405649406,-0.6751959358310214,-0.6802628367293175,-0.2306492251285814,-0.1713774630076777,-0.8819307868119678,-0.8237614985593773,0.01284238286579243,0.5092606866662146,0.5236889899835049,-0.9674586467680425,0.9586127238670268,1.0,0.26116857502770996,-0.128229859114442,-0.8112051857150056,0.6599228298064771
discharge_frac,-0.9823047191433543,0.7137043845125554,-0.8584583080404873,-0.8797791182918955,0.015623534043870683,0.6032356250495131,-0.9911384014788819,-0.3283074203567407,-0.6200459873538494,0.9681612097585436,0.9451032754230413,-0.9877024613767106,0.41394426074592805,0.26116857502770996,1.0,0.37027232604962085,-0.014264551057815558,-0.7462186031334924
discharge_voltage_slope,-0.37173431789676853,0.06202040899620375,-0.2691665650542967,-0.19629301449722628,0.33933889548323753,0.5335044862144381,-0.3051160506475107,-0.10505742789559318,-0.07904143570795517,0.2971617059480338,0.25184453459276107,-0.31160629720472327,-0.01151499425105103,-0.128229859114442,0.37027232604962085,1.0,0.2630813708870132,0.2589328069403642
discharge_curvature_coeff,-0.02894412043921767,-0.1333665628405771,0.01603921061044775,0.07493087545796819,0.3284089219736972,0.2683380273883362,0.010692678130117768,-0.06551370456630594,-0.013872980543411784,-0.020955763997407787,-0.010721745848165844,0.0010066532674501104,-0.7530528776792421,-0.8112051857150056,-0.014264551057815558,0.2630813708870132,1.0,-0.015353395918222842
voltage_plateau_fraction,0.7577868287502045,-0.5934602289478611,0.6363916387871337,0.6779533421019919,-0.03430034310995268,-0.43459230916060515,0.7724321106536541,0.26146127715431333,0.5725713453805533,-0.7464947334511981,-0.7613550333601186,0.7708920673670476,0.7389548628857143,0.6599228298064771,-0.7462186031334924,0.2589328069403642,-0.015353395918222842,1.0
