algorithm,n_points,duration_s,voltage_start,voltage_end,voltage_delta,voltage_slope_V_per_s,voltage_std,current_mean,current_std,temp_start,temp_end,temp_change,energy_proxy_VAs,discharge_frac,discharge_voltage_slope,discharge_curvature_coeff,voltage_plateau_fraction
RandomForest,0.004496863376998876,0.01365950203019353,0.006920146587693746,0.04626711880880521,0.06034554113709339,0.008743740790481416,0.0005913262758513859,0.009164531882194564,0.011225432339880543,0.0012992013893246763,0.0014517824003120472,0.0007104473132259474,0.7723596521450259,0.0005709559267506481,0.01006159065332912,0.03172807467718182,0.020404092265657148
RandomForest,0.0006788683562651861,0.7749752374828509,4.8443136485778425e-05,0.00010467223164974737,0.00019540169625046537,0.0002959741170579395,0.00012402005225276485,0.0003632126917038491,0.0004699790719477044,4.660073776578642e-05,5.150737329228772e-05,0.00010684272804073602,0.22171298519699176,4.983811228929683e-05,0.0005865175415317579,0.0001311340478251771,5.8765425798783436e-05
RandomForest,0.0022705563706054547,0.006348974811130065,0.009239056713163055,0.0031744760859954185,0.002734162060024447,0.019309025507692524,0.0017974616473490398,0.38424460198931054,0.047475842014994975,0.000422102365154784,0.0022165636128883923,0.0023119651456897762,0.33853592632168866,0.0023369181867029863,0.16123894108041664,0.013551965455737076,0.0027914606314561946
RandomForest,0.0027102588973719126,0.013011899939593235,0.010359007823735594,0.003969591381057436,0.004145173845543646,0.035786221816131475,0.0011422276442566465,0.004933028665802356,0.0028667495493237584,0.00021989340638275785,0.003983012700506466,0.00358177967544488,0.7446357168799982,0.0001306371641633406,0.06065808441186814,0.03894842217635062,0.06891829402246945
GradientBoosting,0.002583163681451509,0.013832001566528362,0.009838084688775554,0.03906248654686494,0.057273234456596066,0.0007430397596171898,0.0001758862130781056,0.004858904636439318,0.010990685112707285,0.0008877796478825106,0.0019487388114632963,0.00015111555381102805,0.7851300520069644,0.0046016033474611815,0.008151869395708193,0.04641620614985144,0.013355148424799568
GradientBoosting,0.00029201341030268065,0.5784860464450092,5.227538433787365e-05,6.546656374074381e-05,4.682464073604736e-05,0.00046077079830318646,6.99442282605508e-05,0.00020766344184436851,5.352939596805575e-05,2.093988533570205e-05,4.800276395499198e-05,6.242417771936064e-05,0.4193649028185226,2.9060598317184862e-05,0.0005197031452449232,0.00017106515612681333,4.936714627569393e-05
GradientBoosting,0.0032457040153085113,0.007029004714148902,0.013945936930313235,0.004693010155377899,0.003095946027958966,0.02581138037193205,0.0016071007208060518,0.2876845323487194,0.0016722741776606337,0.00027251465235614356,0.0008856549611550768,0.002565651102820559,0.48474609976883887,0.003909349668657684,0.14901668241428478,0.007413444519843528,0.002405713449817643
GradientBoosting,0.0005737030806260414,0.01004830436648703,0.014817007591543028,0.0014900705356033063,0.0026620304428149224,0.041847823373992406,0.0030290809487955417,0.009074399081736255,0.006941026693413417,7.282560323901787e-05,0.0023924544084041005,0.002443457553280025,0.7672317274278554,4.633879320332566e-05,0.06567197616172915,0.01843927357671148,0.05321850036056547
XGBoost,0.00398447597399354,0.012325193732976913,0.003847082145512104,0.1395723521709442,0.00012547490769065917,0.00019320491992402822,0.0004379382880870253,0.036217570304870605,0.007667887955904007,0.0012176090385764837,0.001068956102244556,0.000330595881678164,0.7479059100151062,0.0037654777988791466,0.007112839724868536,0.0024277979973703623,0.03179970756173134
XGBoost,0.00044239882845431566,0.760967493057251,7.031787390587851e-05,7.588833977933973e-05,0.002360293408855796,0.0016271552303805947,0.00014381701475940645,0.00047333945985883474,0.0001578834926476702,8.67545313667506e-05,0.00020218684221617877,0.00019075439195148647,0.23204316198825836,0.00011840007937280461,0.00043159612687304616,6.957974255783483e-05,0.0005390298319980502
XGBoost,0.0010159134399145842,0.0033697686158120632,0.005159802734851837,0.009394106455147266,0.004931723698973656,0.024663046002388,0.001049390877597034,0.5374447107315063,0.0007138142245821655,0.00041428819531574845,0.0009150935802608728,0.0003224954998586327,0.30482810735702515,0.0024169946555048227,0.09369201213121414,0.007569699082523584,0.0020990241318941116
XGBoost,0.0007694500964134932,0.009182657115161419,0.008574910461902618,0.006872284226119518,0.026679037138819695,0.026949798688292503,0.002310193609446287,0.008378331549465656,0.0008402662933804095,0.00014541676500812173,0.0010694509837776423,0.0018240126082673669,0.676249623298645,0.00012701915693469346,0.051560062915086746,0.11895012855529785,0.05951730161905289
ExtraTrees,0.008358207256566734,0.1507882078094858,0.0043302564036567445,0.07375428864717808,0.0530800049226889,0.029016048289934714,0.0018618035436837313,0.07961779977408662,0.08542965900865085,0.0007381922410064014,0.002345030306196233,0.0029105663096963955,0.3344303093980777,0.002914227952289336,0.03255932278386599,0.11132037829656788,0.026545697056367935
ExtraTrees,0.004895851291526417,0.33459873400020634,0.00017777928441592474,0.007723806994498272,0.002780354910479487,0.008927641631205165,0.0008198708512495548,0.019016050903569386,0.016337033360543995,2.1945118152944227e-05,0.00032394830705048216,0.0007959420370618012,0.4773362162444631,3.531048215841601e-05,0.01148865741826958,0.015155034261165832,0.09956582290398329
ExtraTrees,0.0047321108599839385,0.13182738844277894,0.005345370440915831,0.03415212239469648,0.043875546823353276,0.0325943726332742,0.007475430697881614,0.1217574291127469,0.11901417839198192,0.0003656814696310898,0.002016623278707647,0.007027548755765955,0.29010955260460963,0.0023243250663890587,0.03896651331966045,0.14446004175215477,0.013955763955468357
ExtraTrees,0.02250699541624004,0.1746895672473743,0.013243715349766951,0.02359505836905274,0.03259860663932016,0.02444494653054739,0.005122455482516354,0.07040153998581061,0.059510017586179464,0.00016929622731039242,0.00526199961194797,0.014261371074565524,0.3571675922643083,0.00026018002270910916,0.0324268957717802,0.10588919926869865,0.05845056315187194
